minute,slippage_per_share,x_t_allocated
2025-04-03 16:47:00+00:00,0.055,2
2025-04-03 16:48:00+00:00,0.095,1
2025-04-03 16:49:00+00:00,0.04,2
2025-04-03 16:50:00+00:00,0.055,2
2025-04-03 16:51:00+00:00,0.04,2
2025-04-03 16:52:00+00:00,0.08,1
2025-04-03 16:53:00+00:00,0.085,1
2025-04-03 16:54:00+00:00,0.07,1
2025-04-03 16:55:00+00:00,0.1,1
2025-04-03 16:56:00+00:00,0.085,1
2025-04-03 16:57:00+00:00,0.29,0
2025-04-03 16:58:00+00:00,0.12,1
2025-04-03 16:59:00+00:00,0.16,1
2025-04-03 17:00:00+00:00,0.05,2
2025-04-03 17:01:00+00:00,0.065,1
2025-04-03 17:02:00+00:00,0.105,1
2025-04-03 17:03:00+00:00,0.025,4
2025-04-03 17:04:00+00:00,0.04,2
2025-04-03 17:05:00+00:00,0.06,2
2025-04-03 17:06:00+00:00,0.08,1
2025-04-03 17:07:00+00:00,0.152,1
2025-04-03 17:08:00+00:00,0.16,1
2025-04-03 17:09:00+00:00,0.16,1
2025-04-03 17:10:00+00:00,0.07,1
2025-04-03 17:11:00+00:00,0.115,1
2025-04-03 17:12:00+00:00,0.145,1
2025-04-03 17:13:00+00:00,0.09,1
2025-04-03 17:14:00+00:00,0.135,1
2025-04-03 17:15:00+00:00,0.14,1
2025-04-03 17:16:00+00:00,0.085,1
2025-04-03 17:17:00+00:00,0.11,1
2025-04-03 17:18:00+00:00,0.115,1
2025-04-03 17:19:00+00:00,0.13,1
2025-04-03 17:20:00+00:00,0.067,1
2025-04-03 17:21:00+00:00,0.1,1
2025-04-03 17:22:00+00:00,0.07,1
2025-04-03 17:23:00+00:00,0.085,1
2025-04-03 17:24:00+00:00,0.1,1
2025-04-03 17:25:00+00:00,0.04,2
2025-04-03 17:26:00+00:00,0.126,1
2025-04-03 17:27:00+00:00,0.07,1
2025-04-03 17:28:00+00:00,0.095,1
2025-04-03 17:29:00+00:00,0.1,1
2025-04-03 17:30:00+00:00,0.135,1
2025-04-03 17:31:00+00:00,0.035,3
2025-04-03 17:32:00+00:00,0.07,1
2025-04-03 17:33:00+00:00,0.055,2
2025-04-03 17:34:00+00:00,0.105,1
2025-04-03 17:35:00+00:00,0.125,1
2025-04-03 17:36:00+00:00,0.105,1
2025-04-03 17:37:00+00:00,0.07,1
2025-04-03 17:38:00+00:00,0.16,1
2025-04-03 17:39:00+00:00,0.115,1
2025-04-03 17:40:00+00:00,0.075,1
2025-04-03 17:41:00+00:00,0.105,1
2025-04-03 17:42:00+00:00,0.035,3
2025-04-03 17:43:00+00:00,0.12,1
2025-04-03 17:44:00+00:00,0.08,1
2025-04-03 17:45:00+00:00,0.23,0
2025-04-03 17:46:00+00:00,0.11,1
2025-04-03 17:47:00+00:00,0.155,1
2025-04-03 17:48:00+00:00,0.135,1
2025-04-03 17:49:00+00:00,0.125,1
2025-04-03 17:50:00+00:00,0.095,1
2025-04-03 17:51:00+00:00,0.065,1
2025-04-03 17:52:00+00:00,0.08,1
2025-04-03 17:53:00+00:00,0.085,1
2025-04-03 17:54:00+00:00,0.08,1
2025-04-03 17:55:00+00:00,0.02,5
2025-04-03 17:56:00+00:00,0.055,2
2025-04-03 17:57:00+00:00,0.055,2
2025-04-03 17:58:00+00:00,0.125,1
2025-04-03 17:59:00+00:00,0.09,1
2025-04-03 18:00:00+00:00,0.085,1
2025-04-03 18:01:00+00:00,0.07,1
2025-04-03 18:02:00+00:00,0.115,1
2025-04-03 18:03:00+00:00,0.06,2
2025-04-03 18:04:00+00:00,0.05,2
2025-04-03 18:05:00+00:00,0.045,2
2025-04-03 18:06:00+00:00,0.045,2
2025-04-03 18:07:00+00:00,0.025,4
2025-04-03 18:08:00+00:00,0.12,1
2025-04-03 18:09:00+00:00,0.04,2
2025-04-03 18:10:00+00:00,0.065,1
2025-04-03 18:11:00+00:00,0.095,1
2025-04-03 18:12:00+00:00,0.05,2
2025-04-03 18:13:00+00:00,0.03,3
2025-04-03 18:14:00+00:00,0.05,2
2025-04-03 18:15:00+00:00,0.065,1
2025-04-03 18:16:00+00:00,0.12,1
2025-04-03 18:17:00+00:00,0.105,1
2025-04-03 18:18:00+00:00,0.08,1
2025-04-03 18:19:00+00:00,0.07,1
2025-04-03 18:20:00+00:00,0.128,1
2025-04-03 18:21:00+00:00,0.061,2
2025-04-03 18:22:00+00:00,0.03,3
2025-04-03 18:23:00+00:00,0.13,1
2025-04-03 18:24:00+00:00,0.14,1
2025-04-03 18:25:00+00:00,0.1,1
2025-04-03 18:26:00+00:00,0.04,2
2025-04-03 18:27:00+00:00,0.08,1
2025-04-03 18:28:00+00:00,0.09,1
2025-04-03 18:29:00+00:00,0.065,1
2025-04-03 18:30:00+00:00,0.049,2
2025-04-03 18:31:00+00:00,0.045,2
2025-04-03 18:32:00+00:00,0.035,3
